,country,province,region_1,Lat,Lng
48584,Italy,Central Italy,Lago di Corbara,42.7168337,12.2519308
48655,Australia,South Australia,Mount Benson,-37.1346096,139.7974831
48750,Spain,Central Spain,Madrid,40.4167754,-3.7037902
49059,Italy,Southern Italy,Galatina,40.17582280000001,18.1724756
49187,Italy,Central Italy,Colli Martani,44.8496822,9.9013771
49250,Italy,Central Italy,Colli Perugini,41.87194,12.56738
49452,US,California,Sonoma-Santa Barbara-Mendocino,38.291859,-122.4580356
49789,France,Southwest France,Irrouléguy,46.227638,2.213749
50057,Italy,Central Italy,Todi,42.7819352,12.4065686
50306,Italy,Central Italy,Torgiano Rosso Riserva,43.0273158,12.432391
50765,US,California,Mendocino-Lake County-Napa,38.4627996,-122.7287057
51851,Italy,Lombardy,Provincia di Pavia,45.3218166,8.8466236
51875,Italy,Tuscany,Vin Santo del Chianti,43.5958368,11.3085151
52238,Australia,New South Wales,Hilltops,-33.2581632,149.0866321
52385,Australia,New South Wales,Western Plains,-32.2785846,148.5817624
52744,France,Languedoc-Roussillon,Vin de Pays de la Vallée de l’Aude,42.91470899999999,2.6228612
53186,France,Languedoc-Roussillon,Vin de Pays de Caux,43.503448,3.368448
53247,US,Ohio,Ohio River Valley,40.4172871,-82.90712300000001
53481,Italy,Veneto,Prosecco di Valdobbiadene Superiore,45.877286,12.034054
53487,US,California,Mount Harlan,36.6974604,-121.405214
53676,Italy,Piedmont,Cortese di Gavi,44.6880915,8.8037472
53712,Australia,South Australia,Henty,-35.52,147.035
53780,Spain,Levante,Bullas,38.0523547,-1.6598746
54089,France,Rhône Valley,Clairette de Die,44.7610135,5.355582
54748,US,Kentucky,Kentucky,37.8393332,-84.2700179
55501,France,Languedoc-Roussillon,Vin de Pays des Coteaux de Murviel,43.440076,3.143720000000001
55511,France,Southwest France,Vin de Pays des Pyrénees Orientales,42.6389315,2.7619548
55567,Canada,Canada Other,Quebec,46.8632572,-71.2695032
55686,Canada,Canada Other,Canada,43.671855,-79.387434
55696,US,Massachusetts,Massachusetts,42.4072107,-71.3824374
56015,France,Burgundy,St.-Véran,46.2796745,4.784857
56056,Australia,South Australia,Southern Fleurieu,-35.5,138.5
56383,US,Washington,Columbia Valley-Walla Walla Valley,46.0542589,-118.325066
56757,US,California,Napa-Amador,38.113597,-122.243246
56796,Italy,Central Italy,Civitella d'Agliano,42.6042926,12.1859029
57248,Australia,Victoria,Geelong,-38.1499181,144.3617186
57450,Italy,Lombardy,Sebino,45.721871,10.0670398
57592,Italy,Tuscany,Chardonnay di Toscana,43.7710513,11.2486208
57639,France,Rhône Valley,Crémant de Die,44.7610135,5.355582
57875,Italy,Central Italy,Est! Est!! Est!!! di Montefiascone,42.5402375,12.0337914
58055,France,Loire Valley,Blanc Fumé de Pouilly,47.5532402,1.0105289
58104,Italy,Southern Italy,Copertino,40.2696379,18.0604887
58299,US,California,San Diego County,32.7157305,-117.1610966
58315,France,Languedoc-Roussillon,Collioure,42.52675199999999,3.084631
58742,France,Languedoc-Roussillon,Vin de Pays de L'Aude,42.91470899999999,2.6228612
59122,France,Burgundy,Montrachet,46.9447821,4.7539203
59354,Australia,Victoria,Yarra Valley-Heathcote,-37.754639,145.395339
59467,France,Burgundy,Côte de Beaune-Villages,47.0087677,4.7974732
59608,France,Loire Valley,Haut-Poitou,47.2114164,0.833911
60185,Australia,South Australia,Barossa-Langhorne Creek,-35.29625559999999,139.038277
60203,Spain,Northern Spain,Emporadà-Costa Brava,42.2755267,3.0175712
60542,Italy,Southern Italy,Biferno Bianco,41.906962,14.9441244
60949,Italy,Southern Italy,Cirò Classico,41.87194,12.56738
61637,US,California,California-Oregon,39.59388999999999,-121.52833
64418,Argentina,Other,Catamarca,-28.4715877,-65.7877209
65193,US,Nevada,Nevada,38.8026097,-116.419389
65559,Argentina,Other,Zonda Valley,-31.740385,-69.0016485
65677,US,Ohio,Isle St. George,41.72171489999999,-82.82018719999999
65798,Australia,Victoria,Central Victoria,-37.4713077,144.7851531
67845,Italy,Piedmont,Fara,45.553646,8.460478799999999
67989,Italy,Veneto,Custoza Superiore,45.3729347,10.7962865
69072,France,Champagne,Coteaux Champenois,49.253147,4.026601
69346,France,Languedoc-Roussillon,Vin de Pays des Côtes de Thau,43.3979814,3.6116494
69604,US,Michigan,Lake Michigan Shore,42.2208698,-86.369469
71494,Italy,Southern Italy,Rosso del Salento,40.42336419999999,17.9531836
72935,Italy,Southern Italy,Falanghina del Beneventano,41.1297613,14.7826208
73253,France,Southwest France,Vin de Pays de Côtes du Tarn,43.9264401,1.9881527
73357,Australia,South Australia,McLaren Vale-Langhorne Creek,-35.29625559999999,139.038277
73387,France,Languedoc-Roussillon,Vin de Pays des Sables du Golfe du Lion,43.5912356,3.2583626
73726,Italy,Southern Italy,Apulia,40.7928393,17.1011931
73880,France,France Other,Moselle VDQS,49.0983839,6.5527641
74165,US,California,Stanislaus County,37.5090711,-120.9876321
74265,Spain,Central Spain,Tierra Manchuela,40.46366700000001,-3.74922
74476,US,Oregon,Polk County,44.9266528,-123.4919256
75050,Australia,South Australia,Langhorne Creek-Limestone Coast,-35.29625559999999,139.038277
75992,France,Rhône Valley,Coteaux du Tricastin,44.3262629,4.731315700000001
